Company,Sector,Market Cap,P/E Ratio,     EPS,Revenue,Net Income,Debt
Reliance Industries,Energy,1.93E+13,27.810791,51.16,9.65E+12,6.96E+11,3.70E+12
Tata Chemicals,Basic Materials,2.34E+11,115.10666,7.97,1.49E+11,2020000000,70719995904
