Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-06-05 00:00:00+05:30,949.4679703539789,986.6383790321245,946.8025589783696,964.9273681640625,5155439,0.0,0.0
2023-06-06 00:00:00+05:30,969.2404923349056,976.1220761673854,958.3849869892057,963.1827392578125,966295,0.0,0.0
2023-06-07 00:00:00+05:30,966.7689386939143,969.2404901121513,960.8080860166266,964.1519775390625,485131,0.0,0.0
2023-06-08 00:00:00+05:30,968.2712309262475,983.7790784686098,966.3812001754734,972.3905029296875,1389967,0.0,0.0
2023-06-09 00:00:00+05:30,973.1174598182904,977.0913221962829,950.9703381060419,955.6226806640625,959079,0.0,0.0
2023-06-12 00:00:00+05:30,959.5481007082859,961.3411719808546,952.9088269068875,957.3673095703125,601656,0.0,0.0
2023-06-13 00:00:00+05:30,959.5481457561417,975.055994576443,958.6273554008866,969.2890014648438,1236924,0.0,0.0
2023-06-14 00:00:00+05:30,960.8050846787636,968.6477994547147,944.9717157304212,964.7510986328125,3249390,17.5,0.0
2023-06-15 00:00:00+05:30,955.9218853158011,957.6975795620344,940.6310811647227,945.5635986328125,3592424,0.0,0.0
2023-06-16 00:00:00+05:30,946.0568522404859,959.6212753044136,943.0973417538107,957.8455810546875,1397816,0.0,0.0
2023-06-19 00:00:00+05:30,959.275989832011,966.7733920531723,954.738037783293,965.2443237304688,1155057,0.0,0.0
2023-06-20 00:00:00+05:30,966.7734340246885,972.6924550493295,960.9037261329738,970.2261962890625,1267022,0.0,0.0
2023-06-21 00:00:00+05:30,975.1093666132591,985.5169661757392,963.961889448545,983.7412719726562,1757441,0.0,0.0
2023-06-22 00:00:00+05:30,989.9562488110281,996.171208734379,978.8087714546377,990.9920654296875,1685291,0.0,0.0
2023-06-23 00:00:00+05:30,995.2834163252309,995.3820425917718,963.2220522179638,966.82275390625,1289496,0.0,0.0
2023-06-26 00:00:00+05:30,968.6971143661099,983.5439798532099,956.9576987466942,980.53515625,962543,0.0,0.0
2023-06-27 00:00:00+05:30,980.535147635859,1006.2335512907608,980.535147635859,992.6691284179688,2034613,0.0,0.0
2023-06-28 00:00:00+05:30,996.3684997941499,1001.9422684567636,979.6472540177022,982.8040771484375,1118507,0.0,0.0
2023-06-30 00:00:00+05:30,988.4764605071343,993.8529163715324,979.6472425551364,987.8845825195312,892662,0.0,0.0
2023-07-03 00:00:00+05:30,990.4494971539834,1002.7807906942472,987.4899867043201,994.44482421875,817032,0.0,0.0
2023-07-04 00:00:00+05:30,996.9603743095001,1015.112062089338,991.2879794047249,993.260986328125,2029338,0.0,0.0
2023-07-05 00:00:00+05:30,996.3685308095006,1002.7808035325321,990.0055712189827,993.7542724609375,612300,0.0,0.0
2023-07-06 00:00:00+05:30,995.7766615162604,1004.260567570312,991.0907698699353,999.1307373046875,566109,0.0,0.0
2023-07-07 00:00:00+05:30,1000.4131837476979,1012.1525995817916,982.0642425766799,988.673828125,1235538,0.0,0.0
2023-07-10 00:00:00+05:30,992.4224892407387,993.4089927091688,968.4997801313074,982.8533935546875,1102693,0.0,0.0
2023-07-11 00:00:00+05:30,984.5304883599853,985.516991855336,972.692446415777,978.8580932617188,938584,0.0,0.0
2023-07-12 00:00:00+05:30,979.795289015402,984.7278065192941,968.7464377644047,970.1768798828125,827540,0.0,0.0
2023-07-13 00:00:00+05:30,974.0735641261191,977.131700841773,958.289508383092,963.8139038085938,908833,0.0,0.0
2023-07-14 00:00:00+05:30,965.7869305205818,977.2303470836628,963.8139235123681,970.2261962890625,935472,0.0,0.0
2023-07-17 00:00:00+05:30,973.5802983566963,982.3601431104177,970.7194142099349,980.2391967773438,795781,0.0,0.0
2023-07-18 00:00:00+05:30,980.5844320803504,992.4224735139161,976.8850441323613,984.3824462890625,961824,0.0,0.0
2023-07-19 00:00:00+05:30,982.5574933737628,991.1893990635424,979.5979828515527,984.2838745117188,520288,0.0,0.0
2023-07-20 00:00:00+05:30,988.2791577200295,988.2791577200295,977.0823674935444,981.0283813476562,565418,0.0,0.0
2023-07-21 00:00:00+05:30,979.4499603793334,980.5844634709249,965.3922857269584,974.3201904296875,628105,0.0,0.0
2023-07-24 00:00:00+05:30,976.6384621186427,983.5439865982695,973.6789516273741,977.1317138671875,591437,0.0,0.0
2023-07-25 00:00:00+05:30,981.0777214428109,981.5709731881316,961.8409033753048,963.9125366210938,1065233,0.0,0.0
2023-07-26 00:00:00+05:30,963.9125237027224,988.476484375043,963.9125237027224,984.727783203125,1543349,0.0,0.0
2023-07-27 00:00:00+05:30,989.660292870944,992.4224905438969,972.8404207544022,980.2391967773438,1019601,0.0,0.0
2023-07-28 00:00:00+05:30,985.5169490797081,1039.7252656272408,983.9878807705616,1036.864501953125,5379672,0.0,0.0
2023-07-31 00:00:00+05:30,1045.9897408413842,1057.334531434359,1036.8645831905133,1045.052490234375,1732206,0.0,0.0
2023-08-01 00:00:00+05:30,1049.8369035569663,1068.9750942112332,1045.2003855983658,1058.4195556640625,1489507,0.0,0.0
2023-08-02 00:00:00+05:30,1045.6442934781833,1045.6442934781833,1013.188426006613,1027.3447265625,1742065,0.0,0.0
2023-08-03 00:00:00+05:30,1025.9635886393698,1032.7211131915242,1016.1479274748666,1025.4703369140625,643369,0.0,0.0
